Time,#1出口氮氧化物,UNIT3:A18M010F,入口氮氧化物,#1SCR反应器加氨流量,有功功率,#3机净烟气NOx,E磨煤机6kV电动机接触器电流,B磨煤机6kV电动机接触器电流,C磨煤机6kV电动机接触器电流,F磨煤机6kV电动机接触器电流
268,21.0439,21,276.406,80.8913,404.128,32.6313,38.8889,-0.0610497,51.8315,46.5812
269,20.8262,21,275.207,79.5482,405.188,32.4481,37.4237,-0.0610497,49.7558,46.5812
270,20.5719,21,274.436,79.0598,405.188,32.4481,38.1563,-0.0610497,50,47.3138
271,20.5719,21,274.35,79.0598,404.658,32.3871,38.4005,-0.0610497,50,46.4591
272,20.3964,21,275.034,78.5714,404.658,32.265,38.4005,-0.0610497,49.8779,46.337
273,20.2795,21,275.034,78.083,404.658,32.0208,37.9121,-0.0610497,51.7094,46.7033
274,20.2795,21,275.205,77.2283,404.128,32.0208,39.011,-0.0610497,52.6862,46.5812
275,20.2795,21,276.328,76.3736,403.598,31.8987,39.8657,-0.0610497,51.8315,45.9707
276,20.0863,21,276.849,75.8852,403.598,31.6545,39.2552,-0.0610497,54.2735,47.1917
277,19.9321,21,277.457,75.641,404.128,31.4713,39.1331,-0.0610497,51.8315,45.8486
278,19.9321,21,278.773,75.2747,404.128,31.3492,41.5751,-0.0610497,51.3431,46.5812
